Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
42 Lac ,Ready to Move,Resale,Unfurnished,,,,4200000.0,500.0,10.0,1.0,2.0,0.0,thane,8400.0
98 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,9800000.0,473.0,3.0,2.0,0.0,1.0,thane,20718.816067653275
1.40 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,14000000.0,779.0,10.0,2.0,0.0,1.0,thane,17971.758664955072
25 Lac ,Ready to Move,Resale,Unfurnished,,,,2500000.0,530.0,1.0,1.0,1.0,0.0,thane,4716.981132075472
1.60 Cr ,Ready to Move,Resale,Unfurnished,West,"Garden/Park, Main Road",Co-operative Society,16000000.0,635.0,20.0,2.0,0.0,1.0,thane,25196.850393700788
45 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Co-operative Society,4500000.0,680.0,2.0,1.0,1.0,0.0,thane,6617.64705882353
16.5 Lac ,Ready to Move,Resale,Unfurnished,,,,1650000.0,550.0,4.0,1.0,0.0,0.0,thane,3000.0
60 Lac ,Ready to Move,Resale,Furnished,,,,6000000.0,575.0,0.0,1.0,0.0,0.0,thane,10434.782608695652
60 Lac ,Ready to Move,Resale,Furnished,,,Co-operative Society,6000000.0,600.0,0.0,1.0,0.0,0.0,thane,10000.0
1.60 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,16000000.0,900.0,3.0,3.0,1.0,1.0,thane,17777.777777777777
1.40 Cr ,Ready to Move,Resale,Semi-Furnished,,Main Road,Co-operative Society,14000000.0,950.0,6.0,2.0,0.0,1.0,thane,14736.842105263158
1.36 Cr ,Ready to Move,Resale,Semi-Furnished,,,,13600000.000000002,1165.0,16.0,2.0,0.0,0.0,thane,11673.819742489271
1.35 Cr ,Ready to Move,Resale,Semi-Furnished,,,,13500000.0,844.0,8.0,2.0,0.0,0.0,thane,15995.26066350711
4.25 Cr ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,42500000.0,1820.0,18.0,4.0,1.0,2.0,thane,23351.648351648353
75 Lac ,Ready to Move,Resale,Furnished,,,,7500000.0,650.0,2.0,1.0,0.0,0.0,thane,11538.461538461539
90 Lac ,Ready to Move,New Property,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,9000000.0,675.0,10.0,2.0,1.0,1.0,thane,13333.333333333334
37 Lac ,Ready to Move,New Property,Unfurnished,East,Garden/Park,Freehold,3700000.0,647.0,5.0,1.0,2.0,0.0,thane,5718.701700154559
35 Lac ,Ready to Move,Resale,Unfurnished,,,,3500000.0,540.0,4.0,1.0,0.0,0.0,thane,6481.481481481482
90 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Pool, Garden/Park, Main Road",Co-operative Society,9000000.0,600.0,20.0,2.0,0.0,66.0,thane,15000.0
35 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3500000.0,520.0,3.0,1.0,1.0,1.0,thane,6730.7692307692305
54 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,5400000.0,430.0,3.0,1.0,0.0,1.0,thane,12558.139534883721
1.65 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,16500000.0,665.0,15.0,2.0,2.0,1.0,thane,24812.03007518797
85 Lac ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Pool, Main Road",Freehold,8500000.0,557.0,2.0,2.0,0.0,1.0,thane,15260.32315978456
1.28 Cr ,Ready to Move,Resale,Semi-Furnished,East,,Co-operative Society,12800000.0,870.0,27.0,2.0,1.0,0.0,thane,14712.643678160919
42 Lac ,Ready to Move,Resale,Furnished,,,,4200000.0,580.0,5.0,1.0,0.0,0.0,thane,7241.379310344828
24 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,2400000.0,288.0,3.0,1.0,1.0,0.0,thane,8333.333333333334
61 Lac ,Ready to Move,Resale,Unfurnished,,,,6100000.0,630.0,11.0,1.0,0.0,0.0,thane,9682.539682539682
1.75 Cr ,Ready to Move,Resale,Furnished,East,Garden/Park,Freehold,17500000.0,925.0,8.0,3.0,3.0,1.0,thane,18918.91891891892
47 Lac ,Ready to Move,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,4700000.0,434.0,9.0,1.0,1.0,1.0,thane,10829.493087557603
3.20 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,32000000.0,1350.0,16.0,3.0,1.0,2.0,thane,23703.703703703704
1.98 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,19800000.0,850.0,14.0,2.0,2.0,1.0,thane,23294.117647058825
83 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Power Of Attorney,8300000.0,467.0,12.0,2.0,1.0,1.0,thane,17773.019271948608
1.42 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,14200000.0,849.0,1.0,3.0,0.0,1.0,thane,16725.55948174323
54 Lac ,Ready to Move,Resale,Furnished,East,Garden/Park,Freehold,5400000.0,440.0,2.0,2.0,3.0,0.0,thane,12272.727272727272
26 Lac ,Ready to Move,Resale,Semi-Furnished,,,,2600000.0,690.0,5.0,1.0,3.0,0.0,thane,3768.1159420289855
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,750.0,2.0,1.0,0.0,0.0,thane,9333.333333333334
1.18 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,11800000.0,639.0,16.0,2.0,1.0,1.0,thane,18466.353677621282
35 Lac ,Ready to Move,Resale,Unfurnished,,,,3500000.0,600.0,2.0,2.0,3.0,0.0,thane,5833.333333333333
20 Lac ,Ready to Move,Resale,Unfurnished,East,,,2000000.0,482.0,3.0,1.0,2.0,1.0,thane,4149.377593360996
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,1100.0,2.0,2.0,0.0,0.0,thane,6363.636363636364
37 Lac ,Ready to Move,Resale,Furnished,North,"Garden/Park, Pool, Main Road",Freehold,3700000.0,770.0,12.0,2.0,2.0,0.0,thane,4805.194805194805
60 Lac ,Ready to Move,Resale,Unfurnished,,,,6000000.0,530.0,3.0,2.0,0.0,0.0,thane,11320.754716981131
70 Lac ,Ready to Move,Resale,Semi-Furnished,North,Garden/Park,Freehold,7000000.0,923.0,2.0,2.0,2.0,1.0,thane,7583.965330444204
1.10 Cr ,Ready to Move,Resale,Semi-Furnished,North,Garden/Park,Co-operative Society,11000000.0,620.0,5.0,1.0,1.0,1.0,thane,17741.935483870966
1.05 Cr ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Co-operative Society,10500000.0,550.0,6.0,2.0,0.0,0.0,thane,19090.909090909092
24 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,2400000.0,367.0,1.0,1.0,0.0,0.0,thane,6539.509536784741
78 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,7800000.0,600.0,5.0,2.0,1.0,0.0,thane,13000.0
1.55 Cr ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,15500000.0,880.0,7.0,2.0,0.0,1.0,thane,17613.636363636364
47 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,4700000.0,380.0,2.0,1.0,1.0,1.0,thane,12368.421052631578
32 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Co-operative Society,3200000.0,381.0,1.0,1.0,0.0,1.0,thane,8398.950131233596
23 Lac ,Ready to Move,Resale,Semi-Furnished,,"Garden/Park, Main Road",Co-operative Society,2300000.0,375.0,7.0,1.0,1.0,0.0,thane,6133.333333333333
1 Cr ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Co-operative Society,10000000.0,636.0,10.0,2.0,3.0,0.0,thane,15723.270440251572
50 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,5000000.0,590.0,4.0,1.0,3.0,1.0,thane,8474.57627118644
30 Lac ,,Resale,Unfurnished,,Main Road,Co-operative Society,3000000.0,860.0,6.0,2.0,1.0,0.0,thane,3488.3720930232557
70 Lac ,Ready to Move,Resale,Unfurnished,North - West,"Garden/Park, Main Road",Co-operative Society,7000000.0,600.0,14.0,2.0,2.0,0.0,thane,11666.666666666666
1.20 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Co-operative Society,12000000.0,661.0,21.0,2.0,1.0,1.0,thane,18154.311649016643
51 Lac ,Ready to Move,Resale,Unfurnished,North,Main Road,Freehold,5100000.0,686.0,5.0,2.0,1.0,0.0,thane,7434.402332361516
1.55 Cr ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Co-operative Society,15500000.0,950.0,7.0,3.0,2.0,1.0,thane,16315.78947368421
30 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,3000000.0,504.0,6.0,1.0,1.0,1.0,thane,5952.380952380952
1.90 Cr ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,19000000.0,799.0,14.0,2.0,0.0,1.0,thane,23779.724655819773
40 Lac ,Ready to Move,Resale,Unfurnished,,,,4000000.0,500.0,3.0,1.0,0.0,0.0,thane,8000.0
60 Lac ,Ready to Move,New Property,Semi-Furnished,East,Garden/Park,Freehold,6000000.0,320.0,2.0,1.0,0.0,0.0,thane,18750.0
85 Lac ,Ready to Move,Resale,Furnished,East,,Co-operative Society,8500000.0,650.0,3.0,2.0,0.0,0.0,thane,13076.923076923076
43 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,4300000.0,586.0,1.0,2.0,1.0,1.0,thane,7337.883959044369
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1000.0,2.0,2.0,0.0,0.0,thane,8500.0
